web-scraper-order,web-scraper-start-url,Listing,Price,Shipping,Total sold,Revenue,Bids,Date
"1700761249-1","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP - WOW !Apple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP - WOW !","$723.48Fixed price","$10.83100% Free shipping","2,209","$1,598,176.43","–","Nov 19, 2023"
"1700761249-2","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP  - WOWApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP  - WOW","$784.26Fixed price","$11.36100% Free shipping","2,094","$1,642,235.36","–","Sep 14, 2022"
"1700761249-3","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVPApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT -  NEU & OVP","$739.64Fixed price","$0.00100% Free shipping","2,066","$1,528,089.80","–","Feb 2, 2023"
"1700761249-4","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAG WIE NEUApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAG WIE NEU","$653.04Fixed price","$8.5399% Free shipping","1,798","$1,174,168.98","–","Mar 26, 2023"
"1700761249-5","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - BLAU - OHNE SIMLOCK - NEU & OVPApple iPhone 13 Mini - 128GB - BLAU - OHNE SIMLOCK - NEU & OVP","$750.19Fixed price","$10.36100% Free shipping","1,044","$783,193.38","–","Feb 2, 2023"
"1700761249-6","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - POLARSTERN - STARLIGHT -  NEU & OVP  - WOWApple iPhone 13 Mini - 128GB - POLARSTERN - STARLIGHT -  NEU & OVP  - WOW","$797.37Fixed price","$10.97100% Free shipping","932","$743,152.55","–","Sep 9, 2022"
"1700761249-7","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini  128GB  Blau NEU OVP Ohne Vertrag WOWApple iPhone 13 Mini  128GB  Blau NEU OVP Ohne Vertrag WOW","$788.86Fixed price","$11.32100% Free shipping","883","$696,561.63","–","Sep 8, 2022"
"1700761249-8","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - GRÜN 🔥 NEU & OVP 🔥 OHNE SIMLOCKApple iPhone 13 Mini - 128GB - GRÜN 🔥 NEU & OVP 🔥 OHNE SIMLOCK","$737.43Fixed price","$10.55100% Free shipping","797","$587,735.37","–","Sep 6, 2022"
"1700761249-9","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAGApple iPhone 13 Mini 128 GB Blau Schwarz Rot Weiß Pink WOW OHNE VERTRAG","$619.13Fixed price","$8.59100% Free shipping","708","$438,342.33","–","Jun 9, 2023"
"1700761249-10","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Mitternacht Schwarz 5G 5,4"" IOS Smartphone NEU OVPApple iPhone 13 mini 128GB Mitternacht Schwarz 5G 5,4"" IOS Smartphone NEU OVP","$813.42Fixed price","$0.00100% Free shipping","647","$526,281.16","–","Mar 26, 2023"
"1700761249-11","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - GRÜN - NEU & OVP - OHNE SIMLOCKApple iPhone 13 Mini - 128GB - GRÜN - NEU & OVP - OHNE SIMLOCK","$735.68Fixed price","$0.00100% Free shipping","532","$391,383.96","–","Jan 6, 2023"
"1700761249-12","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - POLARSTERN - STARLIGHT - NEU & OVP - WOW !Apple iPhone 13 Mini - 128GB - POLARSTERN - STARLIGHT - NEU & OVP - WOW !","$730.98Fixed price","$11.02100% Free shipping","507","$370,607.58","–","Nov 23, 2023"
"1700761249-13","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Polarstern Starlight Weiß 5G 5,4"" A2628 IOS NEU OVPApple iPhone 13 mini 128GB Polarstern Starlight Weiß 5G 5,4"" A2628 IOS NEU OVP","$730.40Fixed price","$0.00100% Free shipping","494","$360,817.40","–","Jan 1, 2023"
"1700761249-14","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini 128GB iOS Smartphone Schwarz Midnight - NeuwertigApple iPhone 13 Mini 128GB iOS Smartphone Schwarz Midnight - Neuwertig","$652.76Fixed price","$17.59100% Free shipping","441","$287,868.28","–","Sep 25, 2023"
"1700761249-15","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - PINK - ROSA - NEU & OVP - OHNE VERTRAGApple iPhone 13 Mini - 128GB - PINK - ROSA - NEU & OVP - OHNE VERTRAG","$719.50Fixed price","$0.00100% Free shipping","436","$313,702.85","–","Feb 2, 2023"
"1700761249-16","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT - SIMLOCKFREI WIE NEUApple iPhone 13 Mini - 128GB - SCHWARZ - MITTERNACHT - SIMLOCKFREI WIE NEU","$833.54Fixed price","$9.1999% Free shipping","398","$331,750.50","–","Nov 6, 2022"
"1700761249-17","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - PINK - ROSA - NEU & OVP - WOW !Apple iPhone 13 Mini - 128GB - PINK - ROSA - NEU & OVP - WOW !","$718.60Fixed price","$0.00100% Free shipping","359","$257,978.27","–","Nov 20, 2023"
"1700761249-18","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Blau Blue 5,4"" A2628 IOS Smartphone NEU OVPApple iPhone 13 mini 128GB Blau Blue 5,4"" A2628 IOS Smartphone NEU OVP","$740.38Fixed price","$0.00100% Free shipping","343","$253,948.79","–","Nov 12, 2022"
"1700761249-19","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini 128GB iOS Smartphone Weiß Starlight White - Neuwertig - WOWApple iPhone 13 Mini 128GB iOS Smartphone Weiß Starlight White - Neuwertig - WOW","$638.53Fixed price","$0.00100% Free shipping","313","$199,859.34","–","Jun 23, 2023"
"1700761249-20","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - PINK - ROSA - NEU & OVP - OHNE VERTRAG - WOWApple iPhone 13 Mini - 128GB - PINK - ROSA - NEU & OVP - OHNE VERTRAG - WOW","$800.85Fixed price","$0.00100% Free shipping","302","$241,858.08","–","Sep 13, 2022"
"1700761249-21","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Grün Green  5,4"" A2628 IOS Smartphone NEU OVPApple iPhone 13 mini 128GB Grün Green  5,4"" A2628 IOS Smartphone NEU OVP","$731.68Fixed price","$0.00100% Free shipping","294","$215,112.65","–","Nov 15, 2022"
"1700761249-22","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - GRÜN - NEU & OVP - WOW !Apple iPhone 13 Mini - 128GB - GRÜN - NEU & OVP - WOW !","$729.11Fixed price","$10.76100% Free shipping","274","$199,775.23","–","Nov 19, 2023"
"1700761249-23","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageAPPLE iPhone 13 mini 128 GB Mitternacht Dual SIMAPPLE iPhone 13 mini 128 GB Mitternacht Dual SIM","$765.48Fixed price","$0.00100% Free shipping","253","$193,667.36","–","Jun 6, 2023"
"1700761249-24","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - ROT -  RED - NEU & OVP - differenzbesteuertApple iPhone 13 Mini - 128GB - ROT -  RED - NEU & OVP - differenzbesteuert","$667.15Fixed price","$10.6899% Free shipping","240","$160,116.60","–","Oct 7, 2023"
"1700761249-25","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - ROT -  RED - 🔥 NEU & OVP 🔥 OHNE VERTRAG - WOWApple iPhone 13 Mini - 128GB - ROT -  RED - 🔥 NEU & OVP 🔥 OHNE VERTRAG - WOW","$828.30Fixed price","$0.00100% Free shipping","229","$189,680.27","–","Aug 21, 2022"
"1700761249-26","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Rot PRODUCT RED 5G 5,4"" IOS Smartphone NEU OVPApple iPhone 13 mini 128GB Rot PRODUCT RED 5G 5,4"" IOS Smartphone NEU OVP","$769.38Fixed price","$0.00100% Free shipping","217","$166,955.27","–","Sep 28, 2022"
"1700761249-27","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - BLAU - NEU & OVP & differenzbesteuertApple iPhone 13 Mini - 128GB - BLAU - NEU & OVP & differenzbesteuert","$725.48Fixed price","$0.00100% Free shipping","209","$151,624.69","–","Jul 17, 2023"
"1700761249-28","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - GRÜN - NEU & OVP - OHNE SIMLOCKApple iPhone 13 Mini - 128GB - GRÜN - NEU & OVP - OHNE SIMLOCK","$741.01Fixed price","$0.00100% Free shipping","200","$148,202.58","–","Feb 2, 2023"
"1700761249-29","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - BLAU - OHNE SIMLOCK - NEU & OVPApple iPhone 13 Mini - 128GB - BLAU - OHNE SIMLOCK - NEU & OVP","$717.21Fixed price","$0.00100% Free shipping","184","$131,966.46","–","Mar 6, 2023"
"1700761249-30","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini 128 256 512Rot Weiß Schwarz Blau Rose Grün SEHR GUTApple iPhone 13 Mini 128 256 512Rot Weiß Schwarz Blau Rose Grün SEHR GUT","$652.87Fixed price","$16.3199% Free shipping","181","$118,169.32","–","Nov 7, 2023"
"1700761249-31","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Pink Rose 5G 5,4"" A2628 IOS Smartphone NEU OVPApple iPhone 13 mini 128GB Pink Rose 5G 5,4"" A2628 IOS Smartphone NEU OVP","$712.79Fixed price","$25.4299% Free shipping","178","$126,877.33","–","Sep 18, 2022"
"1700761249-32","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Mitternacht, NEU SonstigeApple iPhone 13 mini 128GB Mitternacht, NEU Sonstige","$711.51Fixed price","$0.00100% Free shipping","163","$115,975.98","–","Nov 17, 2023"
"1700761249-33","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 mini 128GB Rose, NEU SonstigeApple iPhone 13 mini 128GB Rose, NEU Sonstige","$667.56Fixed price","$0.00100% Free shipping","149","$99,465.70","–","Nov 23, 2023"
"1700761249-34","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13+mini&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Mini - 128GB - GRÜN - NEU & OVPApple iPhone 13 Mini - 128GB - GRÜN - NEU & OVP","$721.74Fixed price","$0.00100% Free shipping","143","$103,208.93","–","Mar 7, 2023"
