,Product,Price,Date
0,Apple iPhone 8 64GB GSM Factory Unlocked GRAY & SILVER (GOOD CONDITION),$179.99,20220103
1,Apple iPhone 8 64GB 256GB Unlocked Straight talk T-mobile AT&T Verizon Metro (N),$209.00 to $269.00,20220103
2,Apple iPhone 11 Pro - 256GB - All Colors (Unlocked) A2160 - Good Condition ,$548.99,20220103
3,Apple iPhone XR Black 128GB A1984 LTE GSM CDMA Verizon Unlocked - Very Good,$336.99,20220103
4,Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Very,$309.99,20220103
5,Apple iphone 7/7 plus 32GB/128GB Black Gold Unlocked Verizon Tmobile Smartphone,$93.00 to $247.00,20220103
6,Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Good,$399.99,20220103
7,Apple iPhone 12 Mini 5G 64GB Factory Unlocked TMobile Metro Ultra Mint EXCELLENT,$439.00 to $459.00,20220103
8,Apple iPhone 12 Pro Max - 256GB - Pacific Blue (Unlocked),$574.00,20220103
9,Apple iPhone X - 64GB - Space Gray  A1865 GSM & CDMA UNLOCKED ~MRF~ VERY GOOD!,$274.95,20220103
10,Apple iPhone 8 64GB Factory Unlocked Phone - Very Good,$179.95,20220103
11,Apple iPhone X 64GB Factory Unlocked Phone - Very Good,$307.95,20220103
12,Apple iPhone 8 64GB 256GB Verizon T-Mobile AT&T Unlocked Good Condition,$149.99 to $179.99,20220103
13,"Apple iPhone 7+ Plus - 32GB 128GB GSM ""Unlocked""  ""ALL COLORS"" (GOOD CONDITION)",$188.00 to $208.00,20220103
14,Apple iPhone 11 Pro - 256GB - All Colors (Unlocked) A2160 - Very Good Condition ,$575.99 to $593.99,20220103
15,Apple iPhone 8 Plus - 64GB - Factory Unlocked - Good Condition,$249.00,20220103
16,🔥Apple iPhone SE [1st Gen] 32 / 64 / 128GB Unlocked Smartphone - NEW SEALED🔥,$153.99 to $209.99,20220103
17,Apple iPhone SE 32GB Space Gray Locked Straight Talk & Tracfone A1662 CDMA + GSM,$78.00,20220103
18,Apple iPhone 11 Pro Max A2161 ATT TMob Sprint Verizon Factory Unlocked Very Good,$659.00 to $759.00,20220103
19,Apple iPhone 7 32GB 128GB 256GB Factory Unlocked Excellent Condition,$119.99,20220103
20,Apple iPhone 11 64GB Unlocked Smartphone - Very Good,$417.95,20220103
21,Apple iPhone 8 Plus 64GB Factory Unlocked Smartphone - Good,$234.99,20220103
22,Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Good,$299.99,20220103
23,Apple iPhone XR 128GB Factory Unlocked 4G LTE Smartphone - Good,$314.99,20220103
24,Apple iPhone 8 - 64GB - Gold (Unlocked) A1863 (CDMA + GSM),$149.00,20220103
25,Apple iPhone 11 Pro Max 64GB 256GB 512GB Verizon T-Mobile Good Condition,$549.99 to $679.99,20220103
26,Apple iPhone XS Max - 64GB - Gold (Unlocked) A1921 (CDMA + GSM),$343.00,20220103
27,"Apple iPhone 7 32GB- Gold,Black,Silver Verizon at&t Unlocked Tmobile Smartphone ",$90.00 to $141.00,20220103
28,Apple iPhone 11 - 128GB - All Colors - Fully Unlocked - Very Good Condition ,$476.99 to $485.99,20220103
29,Apple iPhone 11 128GB Factory Unlocked 4G LTE Smartphone - Very Good,$459.99,20220103
30,Apple iPhone 11 - 64GB - Black (Verizon),$399.00,20220103
31,Unlocked Verizon Apple iPhone 8 A1863 Gray 64GB iOS Smartphone Please Read,$149.99,20220103
32,iPhone 11 Pro Max 256GBUnlocked,$517.00,20220103
33,Apple iPhone XS 64GB Factory Unlocked 4G LTE iOS Smartphone - Very Good,$309.99,20220103
34,Apple iPhone 11 Pro Max 64GB Factory Unlocked 4G LTE Smartphone - Very Good,$599.99,20220103
35,Apple iPhone 7 Plus 128GB Factory Unlocked 4G LTE iOS WiFi Smartphone - Good,$197.95,20220103
36,Apple iPhone 8 64GB 256GB GSM Factory Unlocked Verizon AT&T T-Mobile Very Good,$213.00,20220103
37,Apple iPhone SE 2020 - 64GB - Factory Unlocked - Very Good Condition,$249.99,20220103
